number-strategies,memory-size,overcrowding-threshold,avg-attendance,std
1,5,60,71.03030303,0.021427478
3,5,60,62.98989899,0.007142493
1,10,60,67.18181818,0.128564869
2,5,60,62.95959596,0.735676752
4,5,60,61.37373737,0.44283455
1,15,60,60.17171717,0.121422377
5,5,60,56.31313131,2.60700985
2,10,60,62.39393939,1.135656346
3,10,60,55.5959596,2.542727415
6,5,60,55.3030303,2.335595126
2,15,60,61.68686869,0.221417275
4,10,60,58.73737374,0.185704811
7,5,60,59.72727273,0.192847304
3,15,60,58.17171717,1.292791186
5,10,60,58.56565657,1.814193156
8,5,60,58.93939394,0.042854956
4,15,60,58.44444444,0.314269681
6,10,60,59.88888889,1.335646142
9,5,60,57.42424242,0.299984695
7,10,60,58.44444444,1.728483243
10,5,60,56.73737374,4.056935876
5,15,60,59.7979798,0.142849855
8,10,60,58.76767677,0.542829448
11,5,60,59.08080808,11.96367534
6,15,60,57.46464646,1.085658896
9,10,60,56.95959596,2.149890315
7,15,60,57.50505051,0.357124637
12,5,60,57.45454545,2.507014951
10,10,60,57.83838384,0.114279884
13,5,60,57.71717172,6.871078015
8,15,60,54.96969697,0.685679303
11,10,60,55.7979798,0.849956636
14,5,60,58.33333333,0.942809042
9,15,60,55.7979798,0.849956636
12,10,60,56.57575758,3.12841182
15,5,60,57.80808081,13.5707362
13,10,60,55.12121212,2.914137038
10,15,60,56.46464646,1.792765678
11,15,60,57.41414141,0.292842202
14,10,60,58.55555556,3.221264225
15,10,60,56.63636364,3.085556863
12,15,60,57.26262626,1.935615532
13,15,60,55.88888889,0.628539361
14,15,60,58.16161616,1.299933679
15,15,60,56.14141414,1.314218664
